Runes reference — extracted from the connected Potassium client

Format: Rune [tier; roll chance; max level] -> boost/reward effects
"x" is a multiplier; "+" is a flat addition. Values reflect the current client data.

## Basic | Cost: Fire 50 | Realm: base
Rookie [Basic; 80; max 500] -> Oofx0.2, Rebirthx0.1
Learner [Basic; 15; max 400] -> Rebirthx0.15, RuneLuckx0.05
Trained [Basic; 3; max 300] -> Oofx0.5, Rebirthx0.2, Firex0.15, RuneBulk+1
Skilled [Basic; 0.5; max 200] -> Oofx2.5, Firex0.25, RuneLuckx0.075
Expert [Basic; 0.002; max 150] -> Oofx5, Firex0.75, RuneSpeedx0.025, RuneBulkx0.1
Master [Basic; 0.0001; max 115] -> Oofx15, Rebirthx5, Firex1, Blazex0.2, RuneBulk+1
Grandmaster [Basic; 0.0000025; max 95] -> Oofx50, Blazex0.75, RuneSpeedx0.05, RuneBulkx1
Celestial [Basic; 1.6e-10; max 75] -> Oofx750, Firex15, Rebirthx75, Blazex2, RuneBulkx5, RuneLuckx1
Immortal [Basic; 2e-25; max 50] -> Oofx2500, Firex50, Rebirthx250, Blazex5, RuneBulkx1.5, RuneLuckx0.25
Shadow [Noobinial; 4e-20; max 5] -> Oofx100, Blazex15, Prismx0.05, Coinx0.5, RuneBulkx10, Breadx5
Phantom [Noobinial; 4e-26; max 20] -> Oofx1000, Firex50, Cashx100, Prismx0.05, RuneLuckx0.4, RuneBulkx100, Breadx5
Atomic [Noobinial; 3.3333333333333333e-46; max 20] -> Oofx1000, Firex100, Cashx250, Prismx0.05, TierLuckx10, TierBulkx5, Breadx5
Chronos Core [Noobinial; 2.8571428571428573e-47; max 3] -> Firex1000, Cashx350, Prismx0.05, RuneBulkx20, TierBulkx20, HackPointsx1, Wheatx5
## Super | Cost: Cash 25000 | Realm: base
Initiate [Basic; 90; max 1500] -> Oofx1, Firex0.5
Adept [Basic; 7.5; max 1500] -> Blazex0.65, RuneBulkx0.125
Veteran [Basic; 2; max 1500] -> Oofx8.5, Firex0.5, RuneLuckx0.083
Elite [Basic; 0.02; max 250] -> Rebirthx5, Cashx0.75, RuneSpeedx0.025
Champion [Basic; 0.0005; max 175] -> Oofx15, Firex1, Cashx1.65, RuneSpeedx0.04
Ascended [Basic; 0.00005; max 125] -> Firex2, Cashx2.5, RuneLuckx0.15, RuneSpeedx0.06, RuneBulk+1
